item,category,default_label,subcategory,notes
urgent mutual fund,Entertainment,need,mutual fund,Synthetic category mapping for training/testing.
advance crypto,Health,want,crypto,Synthetic category mapping for training/testing.
stable burger,Health,want,burger,Synthetic category mapping for training/testing.
online electricity,Health,need,electricity,Synthetic category mapping for training/testing.
online bond,Investment,want,bond,Synthetic category mapping for training/testing.
personal online shopping,Work,need,online shopping,Synthetic category mapping for training/testing.
emergency dividend,Investment,want,dividend,Synthetic category mapping for training/testing.
client asset,Work,investment,asset,Synthetic category mapping for training/testing.
online mall,Shopping,investment,mall,Synthetic category mapping for training/testing.
college emergency fund,Education,investment,emergency fund,Synthetic category mapping for training/testing.
premium loan emi,Shopping,need,loan emi,Synthetic category mapping for training/testing.
first time dal,Food & Dining,need,dal,Synthetic category mapping for training/testing.
extra capital,Work,want,capital,Synthetic category mapping for training/testing.
office insurance,Investment,need,insurance,Synthetic category mapping for training/testing.
home internet,Health,investment,internet,Synthetic category mapping for training/testing.
small silver,Bills & Obligations,need,silver,Synthetic category mapping for training/testing.
work uniform,Bills & Obligations,investment,uniform,Synthetic category mapping for training/testing.
delayed salon,Shopping,want,salon,Synthetic category mapping for training/testing.
online loan emi,Education,investment,loan emi,Synthetic category mapping for training/testing.
small trip,Shopping,need,trip,Synthetic category mapping for training/testing.
weekly gaming,Shopping,need,gaming,Synthetic category mapping for training/testing.
offline stocks,Entertainment,want,stocks,Synthetic category mapping for training/testing.
monthly movie,Food & Dining,need,movie,Synthetic category mapping for training/testing.
high value uniform,Food & Dining,need,uniform,Synthetic category mapping for training/testing.
high value crypto,Food & Dining,want,crypto,Synthetic category mapping for training/testing.
medical sip,Shopping,want,sip,Synthetic category mapping for training/testing.
medical dessert,Investment,want,dessert,Synthetic category mapping for training/testing.
college rice,Investment,investment,rice,Synthetic category mapping for training/testing.
weekly internet,Investment,investment,internet,Synthetic category mapping for training/testing.
discounted netflix,Education,investment,netflix,Synthetic category mapping for training/testing.
basic pension,Transport,want,pension,Synthetic category mapping for training/testing.
home asset,Work,want,asset,Synthetic category mapping for training/testing.
weekly late night,Food & Dining,investment,late night,Synthetic category mapping for training/testing.
subscription late night,Transport,need,late night,Synthetic category mapping for training/testing.
basic online shopping,Education,want,online shopping,Synthetic category mapping for training/testing.
extra vacation,Education,investment,vacation,Synthetic category mapping for training/testing.
high value bus,Entertainment,investment,bus,Synthetic category mapping for training/testing.
premium gas,Work,need,gas,Synthetic category mapping for training/testing.
small gift,Bills & Obligations,need,gift,Synthetic category mapping for training/testing.
discounted nps,Bills & Obligations,investment,nps,Synthetic category mapping for training/testing.
personal doctor,Education,want,doctor,Synthetic category mapping for training/testing.
morning netflix,Transport,want,netflix,Synthetic category mapping for training/testing.
small sip,Shopping,investment,sip,Synthetic category mapping for training/testing.
premium portfolio,Health,investment,portfolio,Synthetic category mapping for training/testing.
morning snacks,Education,investment,snacks,Synthetic category mapping for training/testing.
client gaming,Education,investment,gaming,Synthetic category mapping for training/testing.
one time investment,Investment,investment,investment,Synthetic category mapping for training/testing.
cashback books,Investment,need,books,Synthetic category mapping for training/testing.
home bond,Education,want,bond,Synthetic category mapping for training/testing.
monthly emergency fund,Transport,want,emergency fund,Synthetic category mapping for training/testing.
recurring bond,Shopping,need,bond,Synthetic category mapping for training/testing.
festival online shopping,Entertainment,want,online shopping,Synthetic category mapping for training/testing.
high value gas,Transport,investment,gas,Synthetic category mapping for training/testing.
monthly concert,Entertainment,need,concert,Synthetic category mapping for training/testing.
advance gold,Shopping,need,gold,Synthetic category mapping for training/testing.
family shopping,Health,investment,shopping,Synthetic category mapping for training/testing.
emergency friends,Food & Dining,investment,friends,Synthetic category mapping for training/testing.
essential water,Work,investment,water,Synthetic category mapping for training/testing.
premium uniform,Bills & Obligations,investment,uniform,Synthetic category mapping for training/testing.
planned trip,Shopping,investment,trip,Synthetic category mapping for training/testing.
morning pharmacy,Transport,need,pharmacy,Synthetic category mapping for training/testing.
weekly fuel,Shopping,investment,fuel,Synthetic category mapping for training/testing.
repeat gaming,Work,want,gaming,Synthetic category mapping for training/testing.
local concert,Bills & Obligations,want,concert,Synthetic category mapping for training/testing.
extra shopping,Education,investment,shopping,Synthetic category mapping for training/testing.
local ppf,Entertainment,investment,ppf,Synthetic category mapping for training/testing.
risky late night,Education,need,late night,Synthetic category mapping for training/testing.
advance swiggy,Food & Dining,investment,swiggy,Synthetic category mapping for training/testing.
subscription internet,Health,investment,internet,Synthetic category mapping for training/testing.
night bus,Bills & Obligations,want,bus,Synthetic category mapping for training/testing.
monthly medical,Entertainment,investment,medical,Synthetic category mapping for training/testing.
offline emergency fund,Transport,investment,emergency fund,Synthetic category mapping for training/testing.
basic shoes,Food & Dining,need,shoes,Synthetic category mapping for training/testing.
low cost water,Health,need,water,Synthetic category mapping for training/testing.
family cosmetics,Transport,investment,cosmetics,Synthetic category mapping for training/testing.
online trip,Health,investment,trip,Synthetic category mapping for training/testing.
essential trip,Bills & Obligations,investment,trip,Synthetic category mapping for training/testing.
small medicine,Bills & Obligations,want,medicine,Synthetic category mapping for training/testing.
premium water,Education,need,water,Synthetic category mapping for training/testing.
risky hospital,Work,need,hospital,Synthetic category mapping for training/testing.
offline dividend,Bills & Obligations,want,dividend,Synthetic category mapping for training/testing.
repeat mutual fund,Health,want,mutual fund,Synthetic category mapping for training/testing.
offline gas,Shopping,investment,gas,Synthetic category mapping for training/testing.
work recurring deposit,Transport,need,recurring deposit,Synthetic category mapping for training/testing.
local hospital,Investment,investment,hospital,Synthetic category mapping for training/testing.
premium rd,Work,investment,rd,Synthetic category mapping for training/testing.
recurring index fund,Education,investment,index fund,Synthetic category mapping for training/testing.
small asset,Education,need,asset,Synthetic category mapping for training/testing.
work dividend,Health,investment,dividend,Synthetic category mapping for training/testing.
festival gift,Food & Dining,investment,gift,Synthetic category mapping for training/testing.
safe gas,Education,need,gas,Synthetic category mapping for training/testing.
online fuel,Entertainment,investment,fuel,Synthetic category mapping for training/testing.
online grocery,Work,want,grocery,Synthetic category mapping for training/testing.
office swiggy,Education,investment,swiggy,Synthetic category mapping for training/testing.
monthly online shopping,Work,need,online shopping,Synthetic category mapping for training/testing.
high value groceries,Entertainment,want,groceries,Synthetic category mapping for training/testing.
subscription recurring deposit,Shopping,investment,recurring deposit,Synthetic category mapping for training/testing.
festival stocks,Health,investment,stocks,Synthetic category mapping for training/testing.
recurring crypto,Work,want,crypto,Synthetic category mapping for training/testing.
home grocery,Food & Dining,need,grocery,Synthetic category mapping for training/testing.
large uniform,Health,want,uniform,Synthetic category mapping for training/testing.
college bond,Work,need,bond,Synthetic category mapping for training/testing.
cashback party,Education,investment,party,Synthetic category mapping for training/testing.
local fuel,Investment,investment,fuel,Synthetic category mapping for training/testing.
repeat party,Bills & Obligations,need,party,Synthetic category mapping for training/testing.
regular pharmacy,Health,investment,pharmacy,Synthetic category mapping for training/testing.
home interest,Shopping,investment,interest,Synthetic category mapping for training/testing.
low cost asset,Transport,investment,asset,Synthetic category mapping for training/testing.
festival train,Health,want,train,Synthetic category mapping for training/testing.
stable doctor,Investment,want,doctor,Synthetic category mapping for training/testing.
small movie,Entertainment,need,movie,Synthetic category mapping for training/testing.
one time financial goal,Work,need,financial goal,Synthetic category mapping for training/testing.
family movie,Transport,want,movie,Synthetic category mapping for training/testing.
offline medicine,Entertainment,want,medicine,Synthetic category mapping for training/testing.
offline trip,Investment,need,trip,Synthetic category mapping for training/testing.
emergency rd,Education,need,rd,Synthetic category mapping for training/testing.
college rd,Bills & Obligations,need,rd,Synthetic category mapping for training/testing.
recurring clothes,Investment,need,clothes,Synthetic category mapping for training/testing.
basic date,Work,investment,date,Synthetic category mapping for training/testing.
low cost medicine,Health,want,medicine,Synthetic category mapping for training/testing.
family gas,Health,investment,gas,Synthetic category mapping for training/testing.
work treat,Investment,investment,treat,Synthetic category mapping for training/testing.
low cost outing,Bills & Obligations,want,outing,Synthetic category mapping for training/testing.
high value online shopping,Shopping,want,online shopping,Synthetic category mapping for training/testing.
online portfolio,Entertainment,want,portfolio,Synthetic category mapping for training/testing.
online friends,Shopping,want,friends,Synthetic category mapping for training/testing.
online pizza,Education,need,pizza,Synthetic category mapping for training/testing.
online rice,Health,investment,rice,Synthetic category mapping for training/testing.
monthly gold,Shopping,investment,gold,Synthetic category mapping for training/testing.
large fd,Investment,investment,fd,Synthetic category mapping for training/testing.
recurring fd,Bills & Obligations,want,fd,Synthetic category mapping for training/testing.
delayed medicine,Education,want,medicine,Synthetic category mapping for training/testing.
repeat rent,Entertainment,investment,rent,Synthetic category mapping for training/testing.
discounted clothes,Work,investment,clothes,Synthetic category mapping for training/testing.
urgent crypto,Work,investment,crypto,Synthetic category mapping for training/testing.
high value long term,Bills & Obligations,need,long term,Synthetic category mapping for training/testing.
office vegetables,Entertainment,need,vegetables,Synthetic category mapping for training/testing.
planned shoes,Health,investment,shoes,Synthetic category mapping for training/testing.
personal trip,Investment,want,trip,Synthetic category mapping for training/testing.
discounted gaming,Transport,need,gaming,Synthetic category mapping for training/testing.
emergency zomato,Work,need,zomato,Synthetic category mapping for training/testing.
night club,Bills & Obligations,want,club,Synthetic category mapping for training/testing.
safe wealth,Food & Dining,investment,wealth,Synthetic category mapping for training/testing.
low cost dinner,Investment,need,dinner,Synthetic category mapping for training/testing.
premium pension,Food & Dining,want,pension,Synthetic category mapping for training/testing.
delayed rent,Food & Dining,want,rent,Synthetic category mapping for training/testing.
college swiggy,Bills & Obligations,want,swiggy,Synthetic category mapping for training/testing.
work clothes,Education,need,clothes,Synthetic category mapping for training/testing.
online medical,Investment,want,medical,Synthetic category mapping for training/testing.
first time train,Work,investment,train,Synthetic category mapping for training/testing.
local sip,Shopping,need,sip,Synthetic category mapping for training/testing.
repeat coffee,Transport,want,coffee,Synthetic category mapping for training/testing.
offline movie,Health,investment,movie,Synthetic category mapping for training/testing.
personal salon,Bills & Obligations,investment,salon,Synthetic category mapping for training/testing.
monthly cosmetics,Health,want,cosmetics,Synthetic category mapping for training/testing.
small medical,Transport,investment,medical,Synthetic category mapping for training/testing.
large groceries,Entertainment,want,groceries,Synthetic category mapping for training/testing.
urgent snacks,Investment,want,snacks,Synthetic category mapping for training/testing.
basic medical,Health,investment,medical,Synthetic category mapping for training/testing.
premium impulse buy,Shopping,need,impulse buy,Synthetic category mapping for training/testing.
large financial goal,Work,want,financial goal,Synthetic category mapping for training/testing.
client silver,Transport,want,silver,Synthetic category mapping for training/testing.
weekly tuition,Health,need,tuition,Synthetic category mapping for training/testing.
planned pizza,Food & Dining,investment,pizza,Synthetic category mapping for training/testing.
monthly etf,Transport,want,etf,Synthetic category mapping for training/testing.
extra zomato,Investment,want,zomato,Synthetic category mapping for training/testing.
work fd,Health,investment,fd,Synthetic category mapping for training/testing.
cashback electricity,Entertainment,want,electricity,Synthetic category mapping for training/testing.
home online shopping,Entertainment,investment,online shopping,Synthetic category mapping for training/testing.
family bond,Health,need,bond,Synthetic category mapping for training/testing.
local gas,Entertainment,need,gas,Synthetic category mapping for training/testing.
family repair,Food & Dining,want,repair,Synthetic category mapping for training/testing.
home retirement,Investment,need,retirement,Synthetic category mapping for training/testing.
first time trip,Education,need,trip,Synthetic category mapping for training/testing.
planned online shopping,Food & Dining,investment,online shopping,Synthetic category mapping for training/testing.
office movie,Shopping,need,movie,Synthetic category mapping for training/testing.
discounted impulse buy,Shopping,want,impulse buy,Synthetic category mapping for training/testing.
urgent family support,Transport,need,family support,Synthetic category mapping for training/testing.
festival asset,Food & Dining,need,asset,Synthetic category mapping for training/testing.
cashback family support,Education,want,family support,Synthetic category mapping for training/testing.
emergency snacks,Bills & Obligations,want,snacks,Synthetic category mapping for training/testing.
monthly deposit,Education,need,deposit,Synthetic category mapping for training/testing.
office snacks,Work,need,snacks,Synthetic category mapping for training/testing.
high value bond,Transport,investment,bond,Synthetic category mapping for training/testing.
essential capital,Transport,need,capital,Synthetic category mapping for training/testing.
online vacation,Entertainment,investment,vacation,Synthetic category mapping for training/testing.
stable wealth,Education,need,wealth,Synthetic category mapping for training/testing.
offline gift,Entertainment,investment,gift,Synthetic category mapping for training/testing.
medical pension,Education,investment,pension,Synthetic category mapping for training/testing.
home sip,Shopping,investment,sip,Synthetic category mapping for training/testing.
urgent train,Work,investment,train,Synthetic category mapping for training/testing.
one time impulse buy,Health,need,impulse buy,Synthetic category mapping for training/testing.
office clothes,Shopping,investment,clothes,Synthetic category mapping for training/testing.
repeat water,Bills & Obligations,investment,water,Synthetic category mapping for training/testing.
high value impulse buy,Education,want,impulse buy,Synthetic category mapping for training/testing.
stable loan emi,Work,need,loan emi,Synthetic category mapping for training/testing.
extra gas,Shopping,investment,gas,Synthetic category mapping for training/testing.
home rice,Food & Dining,investment,rice,Synthetic category mapping for training/testing.
recurring financial goal,Investment,want,financial goal,Synthetic category mapping for training/testing.
subscription loan emi,Work,need,loan emi,Synthetic category mapping for training/testing.
client saving,Work,want,saving,Synthetic category mapping for training/testing.
night movie,Investment,investment,movie,Synthetic category mapping for training/testing.
safe fuel,Health,need,fuel,Synthetic category mapping for training/testing.
monthly interest,Entertainment,investment,interest,Synthetic category mapping for training/testing.
high value silver,Work,want,silver,Synthetic category mapping for training/testing.
extra books,Shopping,want,books,Synthetic category mapping for training/testing.
personal water,Shopping,investment,water,Synthetic category mapping for training/testing.
discounted recurring deposit,Entertainment,need,recurring deposit,Synthetic category mapping for training/testing.
family portfolio,Shopping,need,portfolio,Synthetic category mapping for training/testing.
small recurring deposit,Entertainment,need,recurring deposit,Synthetic category mapping for training/testing.
stable clothes,Food & Dining,investment,clothes,Synthetic category mapping for training/testing.
one time school,Transport,want,school,Synthetic category mapping for training/testing.
first time internet,Shopping,investment,internet,Synthetic category mapping for training/testing.
monthly rice,Shopping,want,rice,Synthetic category mapping for training/testing.
work netflix,Transport,need,netflix,Synthetic category mapping for training/testing.
risky recurring deposit,Shopping,need,recurring deposit,Synthetic category mapping for training/testing.
client dividend,Education,investment,dividend,Synthetic category mapping for training/testing.
stable portfolio,Shopping,investment,portfolio,Synthetic category mapping for training/testing.
morning salon,Work,need,salon,Synthetic category mapping for training/testing.
risky pharmacy,Transport,want,pharmacy,Synthetic category mapping for training/testing.
morning gift,Investment,need,gift,Synthetic category mapping for training/testing.
basic bus,Investment,want,bus,Synthetic category mapping for training/testing.
advance family support,Education,want,family support,Synthetic category mapping for training/testing.
extra family support,Bills & Obligations,investment,family support,Synthetic category mapping for training/testing.
work fuel,Food & Dining,want,fuel,Synthetic category mapping for training/testing.
home crypto,Investment,investment,crypto,Synthetic category mapping for training/testing.
repeat vegetables,Education,need,vegetables,Synthetic category mapping for training/testing.
local investment,Entertainment,want,investment,Synthetic category mapping for training/testing.
large rd,Education,investment,rd,Synthetic category mapping for training/testing.
client college,Food & Dining,investment,college,Synthetic category mapping for training/testing.
monthly electricity,Investment,need,electricity,Synthetic category mapping for training/testing.
online burger,Food & Dining,need,burger,Synthetic category mapping for training/testing.
recurring tuition,Food & Dining,need,tuition,Synthetic category mapping for training/testing.
home school,Transport,investment,school,Synthetic category mapping for training/testing.
subscription savings,Health,want,savings,Synthetic category mapping for training/testing.
basic snacks,Health,want,snacks,Synthetic category mapping for training/testing.
recurring rice,Health,need,rice,Synthetic category mapping for training/testing.
small nps,Shopping,investment,nps,Synthetic category mapping for training/testing.
first time fd,Shopping,need,fd,Synthetic category mapping for training/testing.
family vacation,Entertainment,want,vacation,Synthetic category mapping for training/testing.
morning shopping,Transport,investment,shopping,Synthetic category mapping for training/testing.
premium electricity,Investment,investment,electricity,Synthetic category mapping for training/testing.
offline books,Health,need,books,Synthetic category mapping for training/testing.
delayed vegetables,Shopping,want,vegetables,Synthetic category mapping for training/testing.
online coffee,Transport,need,coffee,Synthetic category mapping for training/testing.
work train,Food & Dining,investment,train,Synthetic category mapping for training/testing.
stable snacks,Investment,investment,snacks,Synthetic category mapping for training/testing.
family online shopping,Health,investment,online shopping,Synthetic category mapping for training/testing.
college shopping,Shopping,investment,shopping,Synthetic category mapping for training/testing.
monthly vegetables,Shopping,investment,vegetables,Synthetic category mapping for training/testing.
festival bus,Health,investment,bus,Synthetic category mapping for training/testing.
basic gift,Health,want,gift,Synthetic category mapping for training/testing.
repeat emergency fund,Education,need,emergency fund,Synthetic category mapping for training/testing.
festival fees,Shopping,need,fees,Synthetic category mapping for training/testing.
college vacation,Health,need,vacation,Synthetic category mapping for training/testing.
medical portfolio,Investment,investment,portfolio,Synthetic category mapping for training/testing.
client burger,Health,investment,burger,Synthetic category mapping for training/testing.
recurring gold,Investment,investment,gold,Synthetic category mapping for training/testing.
recurring recurring deposit,Work,want,recurring deposit,Synthetic category mapping for training/testing.
risky school,Entertainment,want,school,Synthetic category mapping for training/testing.
morning emergency fund,Investment,investment,emergency fund,Synthetic category mapping for training/testing.
monthly coffee,Education,need,coffee,Synthetic category mapping for training/testing.
one time coffee,Entertainment,need,coffee,Synthetic category mapping for training/testing.
planned electricity,Bills & Obligations,need,electricity,Synthetic category mapping for training/testing.
extra internet,Transport,want,internet,Synthetic category mapping for training/testing.
planned books,Entertainment,need,books,Synthetic category mapping for training/testing.
family interest,Health,need,interest,Synthetic category mapping for training/testing.
repeat doctor,Investment,investment,doctor,Synthetic category mapping for training/testing.
offline interest,Transport,need,interest,Synthetic category mapping for training/testing.
personal etf,Education,want,etf,Synthetic category mapping for training/testing.
family coffee,Food & Dining,need,coffee,Synthetic category mapping for training/testing.
basic family support,Investment,need,family support,Synthetic category mapping for training/testing.
subscription gaming,Bills & Obligations,want,gaming,Synthetic category mapping for training/testing.
family electricity,Food & Dining,want,electricity,Synthetic category mapping for training/testing.
stable grocery,Food & Dining,investment,grocery,Synthetic category mapping for training/testing.
monthly fuel,Health,investment,fuel,Synthetic category mapping for training/testing.
repeat stationery,Work,want,stationery,Synthetic category mapping for training/testing.
high value fees,Health,want,fees,Synthetic category mapping for training/testing.
local uniform,Investment,need,uniform,Synthetic category mapping for training/testing.
work concert,Food & Dining,need,concert,Synthetic category mapping for training/testing.
local capital,Bills & Obligations,want,capital,Synthetic category mapping for training/testing.
office milk,Investment,need,milk,Synthetic category mapping for training/testing.
stable coffee,Education,need,coffee,Synthetic category mapping for training/testing.
extra pizza,Transport,need,pizza,Synthetic category mapping for training/testing.
regular tuition,Health,investment,tuition,Synthetic category mapping for training/testing.
urgent medical,Entertainment,investment,medical,Synthetic category mapping for training/testing.
safe school,Entertainment,want,school,Synthetic category mapping for training/testing.
emergency fees,Food & Dining,want,fees,Synthetic category mapping for training/testing.
local shopping,Food & Dining,want,shopping,Synthetic category mapping for training/testing.
local friends,Work,need,friends,Synthetic category mapping for training/testing.
offline silver,Transport,want,silver,Synthetic category mapping for training/testing.
risky doctor,Work,need,doctor,Synthetic category mapping for training/testing.
urgent bond,Investment,want,bond,Synthetic category mapping for training/testing.
advance train,Shopping,need,train,Synthetic category mapping for training/testing.
morning fees,Education,investment,fees,Synthetic category mapping for training/testing.
family capital,Entertainment,investment,capital,Synthetic category mapping for training/testing.
stable fixed deposit,Health,investment,fixed deposit,Synthetic category mapping for training/testing.
large gift,Work,want,gift,Synthetic category mapping for training/testing.
delayed coffee,Transport,want,coffee,Synthetic category mapping for training/testing.
client financial goal,Investment,need,financial goal,Synthetic category mapping for training/testing.
stable retirement,Entertainment,need,retirement,Synthetic category mapping for training/testing.
premium savings,Education,need,savings,Synthetic category mapping for training/testing.
emergency bus,Education,need,bus,Synthetic category mapping for training/testing.
offline gold,Work,need,gold,Synthetic category mapping for training/testing.
safe netflix,Health,need,netflix,Synthetic category mapping for training/testing.
regular fees,Transport,want,fees,Synthetic category mapping for training/testing.
cashback treat,Health,investment,treat,Synthetic category mapping for training/testing.
large salon,Bills & Obligations,want,salon,Synthetic category mapping for training/testing.
urgent stocks,Education,investment,stocks,Synthetic category mapping for training/testing.
first time date,Transport,want,date,Synthetic category mapping for training/testing.
low cost coffee,Health,want,coffee,Synthetic category mapping for training/testing.
first time school,Transport,want,school,Synthetic category mapping for training/testing.
urgent club,Work,want,club,Synthetic category mapping for training/testing.
one time burger,Food & Dining,investment,burger,Synthetic category mapping for training/testing.
extra tuition,Food & Dining,need,tuition,Synthetic category mapping for training/testing.
local savings,Investment,need,savings,Synthetic category mapping for training/testing.
advance outing,Education,want,outing,Synthetic category mapping for training/testing.
online tuition,Work,want,tuition,Synthetic category mapping for training/testing.
local tuition,Health,investment,tuition,Synthetic category mapping for training/testing.
medical date,Investment,need,date,Synthetic category mapping for training/testing.
stable gaming,Education,want,gaming,Synthetic category mapping for training/testing.
basic interest,Bills & Obligations,need,interest,Synthetic category mapping for training/testing.
urgent treat,Education,want,treat,Synthetic category mapping for training/testing.
family sip,Work,need,sip,Synthetic category mapping for training/testing.
urgent savings,Entertainment,want,savings,Synthetic category mapping for training/testing.
night milk,Bills & Obligations,need,milk,Synthetic category mapping for training/testing.
essential online shopping,Food & Dining,investment,online shopping,Synthetic category mapping for training/testing.
online insurance,Shopping,investment,insurance,Synthetic category mapping for training/testing.
local netflix,Health,need,netflix,Synthetic category mapping for training/testing.
first time gift,Education,want,gift,Synthetic category mapping for training/testing.
cashback deposit,Work,need,deposit,Synthetic category mapping for training/testing.
repeat fees,Health,need,fees,Synthetic category mapping for training/testing.
basic mutual fund,Transport,want,mutual fund,Synthetic category mapping for training/testing.
repeat fuel,Work,investment,fuel,Synthetic category mapping for training/testing.
client emergency fund,Transport,investment,emergency fund,Synthetic category mapping for training/testing.
home etf,Food & Dining,investment,etf,Synthetic category mapping for training/testing.
risky deposit,Education,investment,deposit,Synthetic category mapping for training/testing.
festival deposit,Health,want,deposit,Synthetic category mapping for training/testing.
family treat,Food & Dining,need,treat,Synthetic category mapping for training/testing.
first time electricity,Bills & Obligations,want,electricity,Synthetic category mapping for training/testing.
subscription rent,Shopping,investment,rent,Synthetic category mapping for training/testing.
risky gift,Health,investment,gift,Synthetic category mapping for training/testing.
home uniform,Education,need,uniform,Synthetic category mapping for training/testing.
night clothes,Investment,need,clothes,Synthetic category mapping for training/testing.
emergency hospital,Transport,want,hospital,Synthetic category mapping for training/testing.
college mall,Bills & Obligations,want,mall,Synthetic category mapping for training/testing.
advance insurance,Transport,need,insurance,Synthetic category mapping for training/testing.
one time insurance,Investment,want,insurance,Synthetic category mapping for training/testing.
client cosmetics,Health,investment,cosmetics,Synthetic category mapping for training/testing.
repeat dividend,Shopping,investment,dividend,Synthetic category mapping for training/testing.
delayed gold,Investment,need,gold,Synthetic category mapping for training/testing.
subscription portfolio,Work,need,portfolio,Synthetic category mapping for training/testing.
extra grocery,Work,investment,grocery,Synthetic category mapping for training/testing.
advance books,Investment,need,books,Synthetic category mapping for training/testing.
home electricity,Work,want,electricity,Synthetic category mapping for training/testing.
advance clothes,Bills & Obligations,need,clothes,Synthetic category mapping for training/testing.
extra silver,Transport,need,silver,Synthetic category mapping for training/testing.
emergency club,Shopping,investment,club,Synthetic category mapping for training/testing.
monthly pizza,Investment,investment,pizza,Synthetic category mapping for training/testing.
weekly medicine,Investment,need,medicine,Synthetic category mapping for training/testing.
safe loan emi,Transport,want,loan emi,Synthetic category mapping for training/testing.
local saving,Investment,need,saving,Synthetic category mapping for training/testing.
large online shopping,Food & Dining,investment,online shopping,Synthetic category mapping for training/testing.
local insurance,Investment,investment,insurance,Synthetic category mapping for training/testing.
low cost gas,Entertainment,need,gas,Synthetic category mapping for training/testing.
local emergency fund,Education,investment,emergency fund,Synthetic category mapping for training/testing.
festival fuel,Shopping,investment,fuel,Synthetic category mapping for training/testing.
risky wealth,Investment,need,wealth,Synthetic category mapping for training/testing.
college portfolio,Health,want,portfolio,Synthetic category mapping for training/testing.
morning capital,Health,need,capital,Synthetic category mapping for training/testing.
planned asset,Investment,want,asset,Synthetic category mapping for training/testing.
weekly bus,Shopping,need,bus,Synthetic category mapping for training/testing.
extra bus,Education,need,bus,Synthetic category mapping for training/testing.
first time hospital,Education,want,hospital,Synthetic category mapping for training/testing.
regular wealth,Education,want,wealth,Synthetic category mapping for training/testing.
client impulse buy,Entertainment,investment,impulse buy,Synthetic category mapping for training/testing.
work medicine,Health,want,medicine,Synthetic category mapping for training/testing.
college gaming,Food & Dining,need,gaming,Synthetic category mapping for training/testing.
recurring etf,Bills & Obligations,investment,etf,Synthetic category mapping for training/testing.
cashback fixed deposit,Food & Dining,need,fixed deposit,Synthetic category mapping for training/testing.
weekly crypto,Education,need,crypto,Synthetic category mapping for training/testing.
low cost fixed deposit,Work,need,fixed deposit,Synthetic category mapping for training/testing.
small coffee,Health,need,coffee,Synthetic category mapping for training/testing.
large late night,Entertainment,need,late night,Synthetic category mapping for training/testing.
home mutual fund,Shopping,want,mutual fund,Synthetic category mapping for training/testing.
extra ppf,Education,want,ppf,Synthetic category mapping for training/testing.
repeat gold,Bills & Obligations,investment,gold,Synthetic category mapping for training/testing.
cashback repair,Work,want,repair,Synthetic category mapping for training/testing.
risky index fund,Investment,need,index fund,Synthetic category mapping for training/testing.
premium pharmacy,Shopping,need,pharmacy,Synthetic category mapping for training/testing.
stable online shopping,Investment,want,online shopping,Synthetic category mapping for training/testing.
safe medical,Investment,want,medical,Synthetic category mapping for training/testing.
low cost grocery,Bills & Obligations,need,grocery,Synthetic category mapping for training/testing.
extra mall,Shopping,investment,mall,Synthetic category mapping for training/testing.
weekly concert,Work,want,concert,Synthetic category mapping for training/testing.
repeat late night,Education,need,late night,Synthetic category mapping for training/testing.
regular burger,Health,want,burger,Synthetic category mapping for training/testing.
monthly water,Health,want,water,Synthetic category mapping for training/testing.
festival savings,Entertainment,want,savings,Synthetic category mapping for training/testing.
client dal,Entertainment,investment,dal,Synthetic category mapping for training/testing.
first time investment,Education,investment,investment,Synthetic category mapping for training/testing.
home friends,Investment,want,friends,Synthetic category mapping for training/testing.
premium gold,Entertainment,need,gold,Synthetic category mapping for training/testing.
small impulse buy,Food & Dining,want,impulse buy,Synthetic category mapping for training/testing.
discounted vacation,Transport,investment,vacation,Synthetic category mapping for training/testing.
safe hospital,Food & Dining,want,hospital,Synthetic category mapping for training/testing.
large shopping,Food & Dining,want,shopping,Synthetic category mapping for training/testing.
high value recurring deposit,Investment,need,recurring deposit,Synthetic category mapping for training/testing.
weekly investment,Food & Dining,want,investment,Synthetic category mapping for training/testing.
first time college,Education,want,college,Synthetic category mapping for training/testing.
college friends,Shopping,want,friends,Synthetic category mapping for training/testing.
festival saving,Investment,need,saving,Synthetic category mapping for training/testing.
local milk,Bills & Obligations,investment,milk,Synthetic category mapping for training/testing.
premium treat,Shopping,investment,treat,Synthetic category mapping for training/testing.
monthly milk,Food & Dining,need,milk,Synthetic category mapping for training/testing.
home fees,Entertainment,need,fees,Synthetic category mapping for training/testing.
medical club,Shopping,need,club,Synthetic category mapping for training/testing.
personal interest,Investment,want,interest,Synthetic category mapping for training/testing.
small treat,Health,investment,treat,Synthetic category mapping for training/testing.
risky bus,Health,want,bus,Synthetic category mapping for training/testing.
safe pizza,Work,investment,pizza,Synthetic category mapping for training/testing.
essential stocks,Bills & Obligations,investment,stocks,Synthetic category mapping for training/testing.
morning mutual fund,Transport,investment,mutual fund,Synthetic category mapping for training/testing.
online zomato,Education,want,zomato,Synthetic category mapping for training/testing.
night burger,Transport,investment,burger,Synthetic category mapping for training/testing.
planned gold,Education,need,gold,Synthetic category mapping for training/testing.
night deposit,Entertainment,need,deposit,Synthetic category mapping for training/testing.
premium repair,Bills & Obligations,want,repair,Synthetic category mapping for training/testing.
low cost train,Bills & Obligations,investment,train,Synthetic category mapping for training/testing.
office books,Education,need,books,Synthetic category mapping for training/testing.
low cost pension,Investment,want,pension,Synthetic category mapping for training/testing.
regular repair,Entertainment,want,repair,Synthetic category mapping for training/testing.
