original_text,original_category,original_type,original_ambiguity,action,new_category,new_type,new_ambiguity,reason
CARD PAYMENT CULT.FIT,Health,Need,context_dependent,removed_duplicate,,,,"Normalized duplicate of previously retained transaction: ""card payment cult fit"""
UPI-MYNTRA-844187@upi,Shopping,Need,context_dependent,removed_duplicate,,,,"Normalized duplicate of previously retained transaction: ""upi myntra upi"""
splurged on a rooftop bar for a farewell celebration,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
UPI-RELIANCEFRES-926816@upi,Groceries,Want,ambiguous,removed_duplicate,,,,"Normalized duplicate of previously retained transaction: ""upi reliancefres upi"""
Faasos for a movie night at home,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
Vijay Sales required urgently for daily use,Shopping,Need,context_dependent,ambiguity_corrected,Shopping,Need,clear,ambiguity_to_clear
UPI/SKILLSHARE/PAYMENT/REF5456,Education,Need,context_dependent,relabelled_and_ambiguity_corrected,Education,Investment,clear,relabelled_type_to_investment; ambiguity_to_clear
BYJU'S to learn a skill needed for my job,Education,Investment,context_dependent,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
POS JIOMART PAYMENT,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
UPI-SNAPDEAL-SNAPDEAL@HDFC,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
Upstox for a stock market trade,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
Netflix for the monthly subscription renewal,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
indulged in Rapido for a solo backpacking trip,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
booked BSES for this month's power bill,Bills,Need,clear,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
"decided to grow long term savings through Groww, for a gold bond purchase",Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-BEHROUZBIRYA-707169@upi,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
UPI-RAPIDO-780132@upi,Travel,Need,ambiguous,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
UPI-APOLLOPHARMA-793571@upi,Health,Want,context_dependent,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
donated to a local charity drive,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
POS COIN BY ZERODHA PAYMENT,Misc,Investment,ambiguous,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
PVR for binge watching over the weekend,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
Amazon just because I liked the design,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
UPI-COURSERA-CERT@HDFC,Education,Investment,context_dependent,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
UPI-MCDONALDS-866816@upi,Food,Want,ambiguous,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
indulged in Zomato with friends for a celebration,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
UPI/IRCTC/PAYMENT/REF3697,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
Lenskart during a big sale,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
"the expense on Snapdeal was unavoidable, to replace a broken item",Shopping,Need,context_dependent,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
UPI-WALLETTOPUP-REF8259,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
UPI/MEESHO/PAYMENT/REF2013,Shopping,Need,context_dependent,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
Zomato with friends for a celebration,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
UPI/INDIGO/PAYMENT/REF6279,Travel,Want,ambiguous,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
paid for a quick meal during the exam break,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
UPI-BLUSMART-BLUSMART@HDFC,Travel,Want,ambiguous,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
Paytm Money for a fixed deposit renewal,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-ZOMATO-ZOMATO@PAYTM,Food,Want,ambiguous,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
UPI-MEDPLUS-MEDPLUS@PAYTM,Health,Want,context_dependent,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
POS NYKAA PAYMENT,Shopping,Need,ambiguous,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
POS BOX8 PAYMENT,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
Coin by Zerodha for a stock market trade,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
CARD PAYMENT APOLLO PHARMACY,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
SpiceJet for a leisure vacation,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
Zerodha for a stock market trade,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
contributed to ICICI Direct for a recurring deposit,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
Croma just because I liked the design,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
UPI-AJIO-921740@upi,Shopping,Want,context_dependent,removed_duplicate,,,,"Normalized duplicate of previously retained transaction: ""upi ajio upi"""
indulged in Myntra as a small treat for myself,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
paid for Nature's Basket for a festive celebration at home on a whim,Groceries,Want,context_dependent,ambiguity_corrected,Groceries,Want,clear,ambiguity_to_clear
CARD PAYMENT UNACADEMY,Education,Want,context_dependent,relabelled_and_ambiguity_corrected,Education,Investment,clear,relabelled_type_to_investment; ambiguity_to_clear
NETFLIX TXN POS PURCHASE,Entertainment,Want,ambiguous,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
"could have skipped PharmEasy, but chose to spend on it, to try a new wellness trend",Health,Want,context_dependent,relabelled,Health,Need,context_dependent,relabelled_type_to_need
UPI/INOX/PAYMENT/REF5742,Entertainment,Want,ambiguous,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
new shoes,Shopping,Need,ambiguous,relabelled,Shopping,Want,ambiguous,relabelled_type_to_want
POS ZOMATO PAYMENT,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
1mg Diagnostics after a doctor's referral,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
POS ZOMATO ONLINE ORDER,Food,Want,ambiguous,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
POS COURSERA ONLINE,Education,Need,context_dependent,relabelled_and_ambiguity_corrected,Education,Investment,clear,relabelled_type_to_investment; ambiguity_to_clear
UPI-KFC-718821@upi,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
UPI-VIJAYSALES-VIJAYSALES@YBL,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
UPI-ZEPTO-884842@upi,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
"didn't really need Swiggy, but went ahead anyway, for a Sunday brunch tradition",Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
"the expense on Yatra was unavoidable, to get to a work meeting",Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
booked Municipal Water Board for the water supply bill,Bills,Need,clear,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
UPI-FAASOS-859431@upi,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
"decided to grow long term savings through Paytm Money, for a recurring deposit",Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
Box8 to celebrate a promotion,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
More Supermarket for daily cooking needs,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
spent on Snapdeal to replace a broken item,Shopping,Need,context_dependent,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
paid the exam registration fee for a competitive exam,Education,Need,clear,relabelled,Education,Investment,clear,relabelled_type_to_investment
"could have skipped LinkedIn Learning, but chose to spend on it, as a personal hobby class",Education,Want,context_dependent,ambiguity_corrected,Education,Want,clear,ambiguity_to_clear
CARD PAYMENT A LOCAL PUB,Party,Want,ambiguous,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
POS MAKEMYTRIP ONLINE,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
treated myself to Goibibo to a concert across town,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
POS AJIO ONLINE,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
indulged in Reliance Digital as a small treat for myself,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
BEST bus for a hospital appointment,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
UPI/BEHROUZBIRYA/PAYMENT/REF8905,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
UPI-IRCTCTICKET-REF9012,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
UPI-APPLEPAYMENT-REF5593,Shopping,Want,ambiguous,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
CARD PAYMENT COURSERA,Education,Investment,context_dependent,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
UPI-PHARMEASY-PHARMEASY@HDFC,Health,Want,context_dependent,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
UPI/ICICIDIRECT/PAYMENT/REF2215,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
indulged in Uber for a solo backpacking trip,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
Myntra for essential office supplies,Shopping,Need,context_dependent,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
POS ACCOUNT DEBIT,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
UPI-SWIGGY-853163@upi,Food,Need,ambiguous,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
Uber for a solo backpacking trip,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
POS BYJU'S PAYMENT,Education,Investment,ambiguous,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
UPI/INOX/PAYMENT/REF3198,Entertainment,Want,context_dependent,removed_duplicate,,,,"Normalized duplicate of previously retained transaction: ""upi inox payment ref"""
Groww for a monthly SIP,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-TATAPOWER-832477@upi,Bills,Need,ambiguous,ambiguity_corrected,Bills,Need,clear,ambiguity_to_clear
Max Healthcare for an emergency hospital visit,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
a brewery for a farewell celebration,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
POS NET BANKING TRANSFER,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
paid for Blinkit after running out of cooking essentials,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
UPI-JIOMART-JIOMART@ICICI,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
Ajio to try out a new trend,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
AMAZON PRIME VIDEO TXN POS PURCHASE,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
POS ACT FIBERNET ONLINE,Bills,Need,ambiguous,ambiguity_corrected,Bills,Need,clear,ambiguity_to_clear
UPI/FLIPKART/ORDER/REF5521,Shopping,Want,ambiguous,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
Zerodha for a systematic transfer plan,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
"could have skipped Practo, but chose to spend on it, as a lifestyle upgrade",Health,Want,context_dependent,ambiguity_corrected,Health,Want,clear,ambiguity_to_clear
Blinkit for the week's meals,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
"could have skipped INOX, but chose to spend on it, for binge watching over the weekend",Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
UPI-BIGBASKET-BIGBASKET@SBI,Groceries,Want,ambiguous,relabelled_and_ambiguity_corrected,Groceries,Need,clear,relabelled_type_to_need; ambiguity_to_clear
"could have skipped Goibibo, but chose to spend on it, to a concert across town",Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
UPI-YATRA-838403@upi,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
spent on Udemy required to pass the course,Education,Need,context_dependent,relabelled_and_ambiguity_corrected,Education,Investment,clear,relabelled_type_to_investment; ambiguity_to_clear
Zee5 for binge watching over the weekend,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
POS MERU CABS ONLINE,Travel,Need,ambiguous,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
"didn't really need Ola, but went ahead anyway, for a solo backpacking trip",Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
UPI-MAKEMYTRIP-996341@upi,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
UPI/PAYTMMONEY/PAYMENT/REF7875,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
CARD PAYMENT SUBWAY,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
bought a new umbrella since the old one broke,Shopping,Need,clear,relabelled,Shopping,Want,clear,relabelled_type_to_want
Netmeds to try a trending supplement,Health,Want,context_dependent,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
UPI-APOLLOPHARMA-733428@upi,Health,Need,ambiguous,removed_duplicate,,,,"Normalized duplicate of previously retained transaction: ""upi apollopharma upi"""
UPI-MEDPLUS-956178@upi,Health,Want,context_dependent,removed_duplicate,,,,"Normalized duplicate of previously retained transaction: ""upi medplus upi"""
Practo to get a diagnostic test done,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
UPI-BOX8-BOX8@ICICI,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
textbook,Education,Need,clear,ambiguity_corrected,Education,Need,ambiguous,ambiguity_to_ambiguous
IndiGo for a weekend getaway,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
KUVERA TXN POS PURCHASE,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI/SWIGGY/PAYMENT/REF8827,Food,Need,ambiguous,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
booked Apollo Pharmacy after a doctor's referral,Health,Need,context_dependent,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
UPI/COLLEGEFEE/TUITION/REF3391,Education,Need,clear,relabelled,Education,Investment,clear,relabelled_type_to_investment
UPI-TATA1MG-873152@upi,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
Wow Momo for a movie night at home,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
put money into Upstox for a recurring deposit,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
a lounge bar for a New Year's party,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
Fortis Hospital as prescribed by the doctor,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
POS KFC ONLINE,Food,Need,ambiguous,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
auto debit payment,Bills,Need,ambiguous,ambiguity_corrected,Bills,Need,clear,ambiguity_to_clear
Croma because the monsoon damaged the old one,Shopping,Need,context_dependent,ambiguity_corrected,Shopping,Need,clear,ambiguity_to_clear
POS CARD PAYMENT,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
POS UPSTOX ONLINE,Misc,Investment,ambiguous,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-FLIPKARTORDER-REF5965,Shopping,Want,ambiguous,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
contributed to ET Money for a stock market trade,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
"didn't really need Delhi Metro, but went ahead anyway, for a weekend getaway",Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
POS DECATHLON SPORTS,Shopping,Need,context_dependent,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
POS PHARMEASY PAYMENT,Health,Need,ambiguous,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
POS SPOTIFY ONLINE,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
LENSKART TXN POS PURCHASE,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
UPI-SPENCERS-SPENCERS@PAYTM,Groceries,Want,context_dependent,relabelled_and_ambiguity_corrected,Groceries,Need,clear,relabelled_type_to_need; ambiguity_to_clear
Mumbai Metro to attend a friend's party,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
UPI-AMAZONPURCHASE-REF1331,Shopping,Want,ambiguous,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
drinks,Party,Want,context_dependent,ambiguity_corrected,Party,Want,ambiguous,ambiguity_to_ambiguous
UPI-UBER-783707@upi,Travel,Want,ambiguous,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
UPI-SNAPDEAL-884077@upi,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
Reliance Fresh for daily cooking needs,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
UPI-ALOCALPUB-ALOCALPUB@YBL,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
CARD PAYMENT JIOCINEMA,Entertainment,Want,ambiguous,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
CARD PAYMENT LENSKART,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
imported chocolates for movie night,Groceries,Want,clear,relabelled,Groceries,Need,clear,relabelled_type_to_need
"didn't really need Meru Cabs, but went ahead anyway, to visit relatives during the holidays",Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
POS KUVERA PAYMENT,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
Apple payment,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
UPI/ALOUNGEBAR/PAYMENT/REF4641,Party,Want,ambiguous,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
UPI-PVR-849639@upi,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
HP GAS TXN POS PURCHASE,Bills,Need,ambiguous,ambiguity_corrected,Bills,Need,clear,ambiguity_to_clear
UPI-SWIGGYFOOD-SWIGGY@ICICI,Food,Need,ambiguous,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
"didn't really need Max Healthcare, but went ahead anyway, to try a trending supplement",Health,Want,context_dependent,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
used Uber for a job interview across town,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
POS CASH PAYMENT,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
Ola for a leisure vacation,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
Unacademy as a personal hobby class,Education,Want,context_dependent,ambiguity_corrected,Education,Want,clear,ambiguity_to_clear
stocked the pantry with snacks for a house party,Groceries,Want,context_dependent,relabelled_and_ambiguity_corrected,Groceries,Need,clear,relabelled_type_to_need; ambiguity_to_clear
OTT subscription,Entertainment,Want,clear,ambiguity_corrected,Entertainment,Want,ambiguous,ambiguity_to_ambiguous
had to pay for BEST bus to reach college on time,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
UPI-UDEMY-UDEMY@YBL,Education,Investment,ambiguous,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
LinkedIn Learning as a personal hobby class,Education,Want,context_dependent,ambiguity_corrected,Education,Want,clear,ambiguity_to_clear
UPI-MERUCABS-MERUCABS@SBI,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
MYNTRA TXN POS PURCHASE,Shopping,Need,context_dependent,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
POS EATSURE ONLINE,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
UPI-RELIANCEDIGI-941223@upi,Shopping,Need,ambiguous,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
CARD PAYMENT BYJU'S,Education,Want,context_dependent,relabelled_and_ambiguity_corrected,Education,Investment,clear,relabelled_type_to_investment; ambiguity_to_clear
booked Yatra to get to a work meeting,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
Unacademy mandatory for the course curriculum,Education,Need,context_dependent,ambiguity_corrected,Education,Need,clear,ambiguity_to_clear
"set money aside for the future via Zerodha, for a mutual fund purchase",Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-INDIGO-791240@upi,Travel,Need,ambiguous,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
CARD PAYMENT UDEMY COURSE,Education,Investment,context_dependent,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
UPI-BIGBASKET-BIGBASKET@HDFC,Groceries,Want,ambiguous,relabelled_and_ambiguity_corrected,Groceries,Need,clear,relabelled_type_to_need; ambiguity_to_clear
"the expense on IRCTC was unavoidable, to get to a work meeting",Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
CARD PAYMENT MORE SUPERMARKET,Groceries,Want,context_dependent,relabelled_and_ambiguity_corrected,Groceries,Need,clear,relabelled_type_to_need; ambiguity_to_clear
a rooftop bar during a bachelor party night out,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
UPI-KUVERA-KUVERA@AXIS,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-BLUSMART-BLUSMART@AXIS,Travel,Want,ambiguous,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
booked SpiceJet to get to a work meeting,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
POS STANDING INSTRUCTION DEBIT,Misc,Want,ambiguous,ambiguity_corrected,Misc,Want,clear,ambiguity_to_clear
RAPIDO TXN POS PURCHASE,Travel,Need,ambiguous,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
UPI-FORTISHOSPIT-FORTISHOSPIT@AXIS,Health,Want,context_dependent,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
UPI/BESTBUS/PAYMENT/REF1672,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
UPI/DMART/PAYMENT/REF1713,Groceries,Want,context_dependent,relabelled_and_ambiguity_corrected,Groceries,Need,clear,relabelled_type_to_need; ambiguity_to_clear
Yatra to a concert across town,Travel,Want,context_dependent,ambiguity_corrected,Travel,Want,clear,ambiguity_to_clear
booked Adani Electricity for the electricity connection at home,Bills,Need,clear,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
POS NATURE'S BASKET ONLINE,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
had to pay for BEST bus for a hospital appointment,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
UPI/JIOCINEMA/PAYMENT/REF9008,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
UPI-SNAPDEAL-780147@upi,Shopping,Need,ambiguous,removed_duplicate,,,,"Normalized duplicate of previously retained transaction: ""upi snapdeal upi"""
CARD PAYMENT ICICI DIRECT,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
POS ZEE5 PAYMENT,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
booked Meesho required urgently for daily use,Shopping,Need,context_dependent,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
"decided to grow long term savings through ICICI Direct, for a fixed deposit renewal",Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-SKILLSHARE-840909@upi,Education,Want,ambiguous,relabelled_and_ambiguity_corrected,Education,Investment,clear,relabelled_type_to_investment; ambiguity_to_clear
spent on Skillshare compulsory for the degree program,Education,Need,context_dependent,ambiguity_corrected,Education,Need,clear,ambiguity_to_clear
Star Bazaar expense for the week's meals,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
POS UPGRAD ONLINE,Education,Investment,ambiguous,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
CARD PAYMENT A LOUNGE BAR,Party,Want,context_dependent,ambiguity_corrected,Party,Want,clear,ambiguity_to_clear
invested through Zerodha for a national pension scheme contribution,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-NETFLIX-NETFLIX@SBI,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
contributed to ET Money for a recurring deposit,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
used Unacademy mandatory for the course curriculum,Education,Need,context_dependent,ambiguity_corrected,Education,Need,clear,ambiguity_to_clear
POS SWIGGY PAYMENT,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
"could have skipped PVR, but chose to spend on it, for a weekend movie outing with friends",Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
