text,category,type,input_style,ambiguity,group_id,split
had to pay for Meru Cabs for a mandatory office trip,Travel,Need,natural_language,clear,travel_meru,train
"spent on Practo more for enjoyment than necessity, for a fitness experiment",Health,Want,semantic,context_dependent,health_practo,validation
spent on KFC when there was nothing left in the fridge,Food,Need,natural_language,context_dependent,food_kfc,train
had no choice but to pay for JioMart since it was for basic household supplies,Groceries,Need,semantic,context_dependent,bills_jio,validation
Netflix monthly subscription,Entertainment,Want,merchant,clear,entertainment_netflix,train
CARD PAYMENT MAKEMYTRIP,Travel,Need,bank_statement,clear,travel_makemytrip,train
"paid for 1mg Diagnostics purely out of necessity, as prescribed by the doctor",Health,Need,semantic,context_dependent,health_1mg,train
treated myself to Haldiram's just out of a craving,Food,Want,natural_language,context_dependent,food_haldiram,validation
took a flight for a spontaneous holiday with friends,Travel,Want,semantic,context_dependent,scenario_travel_residual,test
booked Faasos while studying for an exam late at night,Food,Need,natural_language,context_dependent,food_faasos,test
splurged on a rooftop bar for a farewell celebration,Party,Want,natural_language,clear,party_rooftop_bar,validation
Jio postpaid mobile bill,Bills,Need,merchant,clear,bills_jio,validation
Faasos for a movie night at home,Food,Want,merchant,clear,food_faasos,test
UPI/AIRTEL/PAYMENT/REF4053,Bills,Need,upi,clear,bills_airtel,train
Blinkit quick grocery top up,Groceries,Need,merchant,clear,groceries_blinkit,train
Vijay Sales required urgently for daily use,Shopping,Need,merchant,clear,bills_vodafone,train
UPI/SKILLSHARE/PAYMENT/REF5456,Education,Investment,upi,clear,education_skillshare,train
"spent on Ajio more for enjoyment than necessity, as a small treat for myself",Shopping,Want,semantic,context_dependent,bills_jio,validation
BYJU'S to learn a skill needed for my job,Education,Investment,merchant,clear,education_byju,test
"didn't really need PVR, but went ahead anyway, for a birthday movie marathon",Entertainment,Want,semantic,context_dependent,bills_vodafone,train
POS JIOMART PAYMENT,Groceries,Need,bank_statement,clear,bills_jio,validation
bought breakfast on the way to the office,Food,Need,natural_language,clear,food_general_dining,train
UPI-SNAPDEAL-SNAPDEAL@HDFC,Shopping,Want,upi,clear,shopping_snapdeal,validation
Upstox for a stock market trade,Misc,Investment,merchant,clear,misc_upstox,train
Netflix for the monthly subscription renewal,Entertainment,Want,merchant,clear,entertainment_netflix,train
indulged in Rapido for a solo backpacking trip,Travel,Want,natural_language,clear,travel_rapido,test
Subway while working late at the office,Food,Need,merchant,context_dependent,food_subway,train
"spent on Ajio more for enjoyment than necessity, as a birthday gift for myself",Shopping,Want,semantic,context_dependent,bills_jio,validation
"didn't really need Amazon Prime Video, but went ahead anyway, for a birthday movie marathon",Entertainment,Want,semantic,context_dependent,bills_vodafone,train
"spent on Amazon Prime Video more for enjoyment than necessity, for the monthly subscription renewal",Entertainment,Want,semantic,context_dependent,bills_vodafone,train
Mumbai Metro monthly recharge,Travel,Need,merchant,clear,travel_mumbai_metro,train
"decided to grow long term savings through Groww, for a gold bond purchase",Misc,Investment,semantic,clear,bills_vodafone,train
UPI-BEHROUZBIRYA-707169@upi,Food,Need,upi,clear,food_behrouz,train
UPI-RAPIDO-780132@upi,Travel,Need,upi,clear,travel_rapido,test
"could have skipped Blinkit, but chose to spend on it, for hosting a dinner party",Groceries,Want,semantic,context_dependent,food_general_dining,train
splurged on Hotstar to unwind after a long week,Entertainment,Want,natural_language,context_dependent,entertainment_hotstar,train
bought a new phone even though the old one worked fine,Shopping,Want,natural_language,clear,scenario_shopping_residual,train
UPI-APOLLOPHARMA-793571@upi,Health,Need,upi,clear,health_apollo,validation
POS TATA SKY PAYMENT,Bills,Need,bank_statement,clear,scenario_bills_residual,train
donated to a local charity drive,Misc,Want,natural_language,clear,scenario_misc_residual,train
POS COIN BY ZERODHA PAYMENT,Misc,Investment,bank_statement,clear,misc_zerodha,train
PVR for binge watching over the weekend,Entertainment,Want,merchant,clear,entertainment_pvr,train
POS THE LOUNGE BAR,Party,Want,bank_statement,clear,party_lounge_bar,test
Amazon just because I liked the design,Shopping,Want,merchant,clear,shopping_amazon,train
UPI-COURSERA-CERT@HDFC,Education,Investment,upi,clear,education_coursera,train
UPI-MCDONALDS-866816@upi,Food,Want,upi,clear,food_mcdonald,train
indulged in Zomato with friends for a celebration,Food,Want,natural_language,clear,food_zomato,test
UPI/IRCTC/PAYMENT/REF3697,Travel,Want,upi,clear,travel_irctc,train
Tata 1mg diagnostic test booking,Health,Need,merchant,clear,health_1mg,train
Lenskart during a big sale,Shopping,Want,merchant,clear,shopping_lenskart,train
"the expense on Snapdeal was unavoidable, to replace a broken item",Shopping,Want,semantic,clear,shopping_snapdeal,validation
UPI-WALLETTOPUP-REF8259,Misc,Want,upi,clear,scenario_misc_residual,train
UPI/MEESHO/PAYMENT/REF2013,Shopping,Want,upi,clear,shopping_meesho,train
paid the annual insurance premium for the car,Bills,Need,semantic,clear,scenario_bills_residual,train
Zomato with friends for a celebration,Food,Want,merchant,clear,food_zomato,test
UPI/INDIGO/PAYMENT/REF6279,Travel,Want,upi,clear,travel_indigo,train
paid for a quick meal during the exam break,Food,Need,natural_language,clear,food_general_dining,train
UPI-BLUSMART-BLUSMART@HDFC,Travel,Want,upi,clear,travel_blusmart,train
Paytm Money for a fixed deposit renewal,Misc,Investment,merchant,clear,misc_paytm_money,validation
"could have skipped Star Bazaar, but chose to spend on it, for hosting a dinner party",Groceries,Want,semantic,context_dependent,food_general_dining,train
Burger King to try a new outlet everyone was talking about,Food,Want,merchant,context_dependent,food_burger_king,train
UPI-MEDPLUS-MEDPLUS@PAYTM,Health,Need,upi,clear,health_medplus,train
POS NYKAA PAYMENT,Shopping,Want,bank_statement,clear,shopping_nykaa,train
POS BOX8 PAYMENT,Food,Want,bank_statement,clear,food_box8,train
Coin by Zerodha for a stock market trade,Misc,Investment,merchant,clear,misc_zerodha,train
CARD PAYMENT APOLLO PHARMACY,Health,Need,bank_statement,clear,health_apollo,validation
SpiceJet for a leisure vacation,Travel,Want,merchant,clear,travel_spicejet,train
Zerodha for a stock market trade,Misc,Investment,merchant,clear,misc_zerodha,train
Barbeque Nation dinner for birthday,Food,Want,merchant,clear,food_barbeque_nation,validation
visited the dentist for a routine checkup,Health,Need,natural_language,clear,bills_vodafone,train
contributed to ICICI Direct for a recurring deposit,Misc,Investment,natural_language,clear,misc_recurring_deposit,train
Croma just because I liked the design,Shopping,Want,merchant,clear,shopping_croma,test
Faasos while working late at the office,Food,Need,merchant,context_dependent,food_faasos,test
indulged in Myntra as a small treat for myself,Shopping,Want,natural_language,clear,shopping_myntra,train
paid for Nature's Basket for a festive celebration at home on a whim,Groceries,Want,natural_language,clear,groceries_natures_basket,train
CARD PAYMENT UNACADEMY,Education,Investment,bank_statement,clear,education_unacademy,train
"paid for Nature's Basket purely out of necessity, for the monthly household stock-up",Groceries,Need,semantic,context_dependent,groceries_natures_basket,train
NETFLIX TXN POS PURCHASE,Entertainment,Want,bank_statement,clear,entertainment_netflix,train
"could have skipped PharmEasy, but chose to spend on it, to try a new wellness trend",Health,Need,semantic,context_dependent,health_pharmeasy,test
UPI/INOX/PAYMENT/REF5742,Entertainment,Want,upi,clear,entertainment_inox,train
new shoes,Shopping,Want,short_keyword,ambiguous,shopping_general_retail,validation
POS ZOMATO PAYMENT,Food,Want,bank_statement,clear,food_zomato,test
1mg Diagnostics after a doctor's referral,Health,Need,merchant,clear,health_1mg,train
POS ZOMATO ONLINE ORDER,Food,Want,bank_statement,clear,food_zomato,test
dinner order,Food,Want,short_keyword,ambiguous,food_general_dining,train
Zepto instant grocery delivery,Groceries,Need,merchant,clear,groceries_zepto,train
POS COURSERA ONLINE,Education,Investment,bank_statement,clear,education_coursera,train
"spent on Wow Momo more for enjoyment than necessity, for a Sunday brunch tradition",Food,Want,semantic,context_dependent,food_wowmomo,test
Airtel for the postpaid mobile bill,Bills,Need,merchant,clear,bills_airtel,train
Zerodha equity purchase,Misc,Investment,merchant,clear,misc_zerodha,train
UPI-KFC-718821@upi,Food,Need,upi,clear,food_kfc,train
MakeMyTrip flight booked for a leisure holiday,Travel,Want,merchant,clear,travel_makemytrip,train
UPI-VIJAYSALES-VIJAYSALES@YBL,Shopping,Want,upi,clear,bills_vodafone,train
UPI-ZEPTO-884842@upi,Groceries,Need,upi,clear,groceries_zepto,train
UPI/HPGAS/PAYMENT/REF7965,Bills,Need,upi,clear,bills_hp_gas,train
"didn't really need Swiggy, but went ahead anyway, for a Sunday brunch tradition",Food,Want,semantic,clear,food_swiggy,test
"the expense on Yatra was unavoidable, to get to a work meeting",Travel,Need,semantic,clear,travel_yatra,train
UPI-FAASOS-859431@upi,Food,Need,upi,clear,food_faasos,test
Delhi Metro to reach the exam center,Travel,Need,merchant,context_dependent,travel_delhi_metro,train
"spent on IndiGo more for enjoyment than necessity, for a spontaneous road trip",Travel,Want,semantic,context_dependent,travel_indigo,train
"decided to grow long term savings through Paytm Money, for a recurring deposit",Misc,Investment,semantic,clear,bills_vodafone,train
Box8 to celebrate a promotion,Food,Want,merchant,clear,food_box8,train
More Supermarket for daily cooking needs,Groceries,Need,merchant,clear,groceries_more_supermarket,train
weekly vegetable and fruit shopping from the local market,Groceries,Need,semantic,clear,groceries_ration_general,train
spent on Snapdeal to replace a broken item,Shopping,Want,natural_language,clear,shopping_snapdeal,validation
paid the exam registration fee for a competitive exam,Education,Investment,natural_language,clear,groceries_ration_general,train
"could have skipped LinkedIn Learning, but chose to spend on it, as a personal hobby class",Education,Want,semantic,clear,education_linkedin_learning,train
spent on Airtel for the postpaid mobile bill,Bills,Need,natural_language,clear,bills_airtel,train
CARD PAYMENT A LOCAL PUB,Party,Want,bank_statement,clear,party_local_pub,train
POS MAKEMYTRIP ONLINE,Travel,Need,bank_statement,clear,travel_makemytrip,train
treated myself to Goibibo to a concert across town,Travel,Want,natural_language,clear,travel_goibibo,train
UPI/TATAPOWER/PAYMENT/REF7853,Bills,Need,upi,clear,bills_tata_power,train
Hotstar for a birthday movie marathon,Entertainment,Want,merchant,context_dependent,bills_vodafone,train
POS AJIO ONLINE,Shopping,Want,bank_statement,clear,bills_jio,validation
Swiggy midnight cravings order,Food,Want,merchant,clear,food_swiggy,test
indulged in Reliance Digital as a small treat for myself,Shopping,Want,natural_language,clear,shopping_reliance_digital,validation
"paid for Rapido purely out of necessity, to get to a work meeting",Travel,Need,semantic,context_dependent,travel_rapido,test
BEST bus for a hospital appointment,Travel,Need,merchant,clear,travel_best_bus,train
hired a cab for a scenic weekend road trip,Travel,Want,semantic,clear,travel_cab_general,validation
had no choice but to pay for Skillshare since it was compulsory for the degree program,Education,Need,semantic,context_dependent,education_skillshare,train
DMart monthly household shopping,Groceries,Need,merchant,clear,groceries_dmart,train
UPI/BEHROUZBIRYA/PAYMENT/REF8905,Food,Need,upi,clear,food_behrouz,train
"the expense on KFC was unavoidable, during a family emergency at home",Food,Need,semantic,context_dependent,food_kfc,train
UPI-IRCTCTICKET-REF9012,Travel,Want,upi,clear,travel_irctc,train
UPI-APPLEPAYMENT-REF5593,Shopping,Want,upi,clear,scenario_shopping_residual,train
premium wellness subscription,Health,Want,natural_language,clear,scenario_health_residual,train
CARD PAYMENT COURSERA,Education,Investment,bank_statement,clear,education_coursera,train
UPI-ZERODHA-INVESTMENT,Misc,Investment,upi,clear,misc_zerodha,train
UPI-PHARMEASY-PHARMEASY@HDFC,Health,Need,upi,clear,health_pharmeasy,test
UPI/ICICIDIRECT/PAYMENT/REF2215,Misc,Investment,upi,clear,scenario_misc_residual,train
Zomato while working late at the office,Food,Need,merchant,context_dependent,food_zomato,test
indulged in Uber for a solo backpacking trip,Travel,Want,natural_language,clear,travel_uber,validation
Myntra for essential office supplies,Shopping,Want,merchant,clear,shopping_myntra,train
POS ACCOUNT DEBIT,Misc,Want,bank_statement,clear,scenario_misc_residual,train
UPI-SWIGGY-853163@upi,Food,Need,upi,clear,food_swiggy,test
Uber for a solo backpacking trip,Travel,Want,merchant,clear,travel_uber,validation
POS BYJU'S PAYMENT,Education,Investment,bank_statement,clear,education_byju,test
POS PVR CINEMAS,Entertainment,Want,bank_statement,clear,entertainment_pvr,train
Groww for a monthly SIP,Misc,Investment,merchant,clear,misc_groww,train
BSES TXN POS PURCHASE,Bills,Need,bank_statement,clear,bills_bses,test
UPI-TATAPOWER-832477@upi,Bills,Need,upi,clear,bills_tata_power,train
cover charge at a nightclub with colleagues,Party,Want,merchant,clear,party_nightclub,test
Max Healthcare for an emergency hospital visit,Health,Need,merchant,clear,bills_vodafone,train
a brewery for a farewell celebration,Party,Want,merchant,clear,party_brewery,train
POS NET BANKING TRANSFER,Misc,Want,bank_statement,clear,misc_general_banking,train
paid for Blinkit after running out of cooking essentials,Groceries,Need,natural_language,clear,groceries_blinkit,train
UPI-JIOMART-JIOMART@ICICI,Groceries,Need,upi,clear,bills_jio,validation
Ajio to try out a new trend,Shopping,Want,merchant,clear,bills_jio,validation
AMAZON PRIME VIDEO TXN POS PURCHASE,Entertainment,Want,bank_statement,clear,bills_vodafone,train
POS ACT FIBERNET ONLINE,Bills,Need,bank_statement,clear,bills_act_fibernet,validation
UPI/FLIPKART/ORDER/REF5521,Shopping,Want,upi,clear,shopping_flipkart,train
MakeMyTrip for a spontaneous road trip,Travel,Want,merchant,context_dependent,travel_makemytrip,train
Zerodha for a systematic transfer plan,Misc,Investment,merchant,clear,misc_zerodha,train
had no choice but to pay for MakeMyTrip since it was for a hospital appointment,Travel,Need,semantic,context_dependent,travel_makemytrip,train
"could have skipped Practo, but chose to spend on it, as a lifestyle upgrade",Health,Want,semantic,clear,health_practo,validation
treated myself to Nykaa because everyone else already had it,Shopping,Want,natural_language,context_dependent,shopping_nykaa,train
Blinkit for the week's meals,Groceries,Need,merchant,clear,food_general_dining,train
"could have skipped INOX, but chose to spend on it, for binge watching over the weekend",Entertainment,Want,semantic,clear,entertainment_inox,train
UPI-BIGBASKET-BIGBASKET@SBI,Groceries,Need,upi,clear,groceries_bigbasket,test
"could have skipped Goibibo, but chose to spend on it, to a concert across town",Travel,Want,semantic,clear,travel_goibibo,train
POS BIGBASKET RETAIL,Groceries,Need,bank_statement,clear,groceries_bigbasket,test
"could have skipped BigBasket, but chose to spend on it, for hosting a dinner party",Groceries,Want,semantic,context_dependent,food_general_dining,train
UPI-YATRA-838403@upi,Travel,Need,upi,clear,travel_yatra,train
spent on Udemy required to pass the course,Education,Investment,natural_language,clear,education_udemy,train
Zee5 for binge watching over the weekend,Entertainment,Want,merchant,clear,entertainment_zee5,validation
POS MERU CABS ONLINE,Travel,Need,bank_statement,clear,travel_meru,train
paid for Nykaa because the old one stopped working,Shopping,Need,natural_language,context_dependent,shopping_nykaa,train
"didn't really need Ola, but went ahead anyway, for a solo backpacking trip",Travel,Want,semantic,clear,travel_ola,train
UPI-MAKEMYTRIP-996341@upi,Travel,Need,upi,clear,travel_makemytrip,train
UPI/PAYTMMONEY/PAYMENT/REF7875,Misc,Investment,upi,clear,misc_paytm_money,validation
CARD PAYMENT SUBWAY,Food,Need,bank_statement,clear,food_subway,train
bought a new umbrella since the old one broke,Shopping,Want,natural_language,clear,shopping_general_retail,validation
prescribed medicines,Health,Need,natural_language,clear,health_medical_general,train
cleared the credit card EMI for this month,Bills,Need,semantic,clear,scenario_bills_residual,train
Netmeds to try a trending supplement,Health,Need,merchant,clear,health_netmeds,test
Practo to get a diagnostic test done,Health,Need,merchant,clear,health_practo,validation
UPI-BOX8-BOX8@ICICI,Food,Need,upi,clear,food_box8,train
textbook,Education,Need,short_keyword,ambiguous,education_academic_general,train
IndiGo for a weekend getaway,Travel,Want,merchant,clear,travel_indigo,train
POS FASTAG RECHARGE NHAI,Travel,Need,bank_statement,clear,travel_fastag,validation
KUVERA TXN POS PURCHASE,Misc,Investment,bank_statement,clear,shopping_general_retail,validation
UPI/SWIGGY/PAYMENT/REF8827,Food,Need,upi,clear,food_swiggy,test
Uber to a party,Travel,Want,merchant,clear,travel_uber,validation
POS TATA POWER BILLDESK,Bills,Need,bank_statement,clear,bills_tata_power,train
UPI/COLLEGEFEE/TUITION/REF3391,Education,Investment,upi,clear,education_academic_general,train
"the expense on Yatra was unavoidable, to rush to the hospital",Travel,Need,semantic,context_dependent,travel_yatra,train
BEST bus pass for daily commute,Travel,Need,merchant,clear,travel_best_bus,train
UPI-TATA1MG-873152@upi,Health,Need,upi,clear,health_1mg,train
Wow Momo for a movie night at home,Food,Want,merchant,clear,food_wowmomo,test
invested through upGrad to prepare for a job change,Education,Investment,natural_language,context_dependent,education_upgrad,test
put money into Upstox for a recurring deposit,Misc,Investment,natural_language,clear,misc_upstox,train
a lounge bar for a New Year's party,Party,Want,merchant,clear,party_lounge_bar,test
paid for a routine annual health checkup,Health,Need,semantic,clear,scenario_health_residual,train
Fortis Hospital as prescribed by the doctor,Health,Need,merchant,clear,health_fortis,train
bought a premium multivitamin subscription out of curiosity,Health,Want,semantic,context_dependent,bills_vodafone,train
POS KFC ONLINE,Food,Need,bank_statement,clear,food_kfc,train
auto debit payment,Bills,Need,short_keyword,clear,travel_auto,train
Domino's pizza party order,Food,Want,merchant,clear,food_domino,train
used HP Gas for the LPG cylinder refill,Bills,Need,natural_language,clear,bills_hp_gas,train
Croma because the monsoon damaged the old one,Shopping,Need,merchant,clear,shopping_croma,test
POS CARD PAYMENT,Misc,Want,bank_statement,clear,scenario_misc_residual,train
POS UPSTOX ONLINE,Misc,Investment,bank_statement,clear,misc_upstox,train
"spent on Meru Cabs more for enjoyment than necessity, for a spontaneous road trip",Travel,Want,semantic,context_dependent,travel_meru,train
UPI-FLIPKARTORDER-REF5965,Shopping,Want,upi,clear,shopping_flipkart,train
contributed to ET Money for a stock market trade,Misc,Investment,natural_language,clear,misc_etmoney,validation
"didn't really need Delhi Metro, but went ahead anyway, for a weekend getaway",Travel,Want,semantic,clear,travel_delhi_metro,train
POS DECATHLON SPORTS,Shopping,Want,bank_statement,clear,shopping_decathlon,validation
splurged on Amazon because everyone else already had it,Shopping,Want,natural_language,context_dependent,shopping_amazon,train
POS PHARMEASY PAYMENT,Health,Need,bank_statement,clear,health_pharmeasy,test
UPI-AIRTELBROADBAND-AIRTEL@ICICI,Bills,Need,upi,clear,bills_airtel,train
POS SPOTIFY ONLINE,Entertainment,Want,bank_statement,clear,entertainment_spotify,test
LENSKART TXN POS PURCHASE,Shopping,Want,bank_statement,clear,shopping_lenskart,train
Behrouz Biryani expense while working late at the office,Food,Need,natural_language,context_dependent,food_behrouz,train
UPI-SPENCERS-SPENCERS@PAYTM,Groceries,Need,upi,clear,groceries_spencer,train
bar tab after work celebration,Party,Want,natural_language,clear,party_general_drinks,train
paid the cover charge to enter a nightclub on a friend's birthday,Party,Want,semantic,clear,party_nightclub,test
Mumbai Metro to attend a friend's party,Travel,Want,merchant,clear,travel_mumbai_metro,train
mutual fund contribution,Misc,Investment,natural_language,clear,scenario_misc_residual,train
UPI-AMAZONPURCHASE-REF1331,Shopping,Want,upi,clear,shopping_amazon,train
drinks,Party,Want,short_keyword,ambiguous,party_general_drinks,train
UPI-UBER-783707@upi,Travel,Want,upi,clear,travel_uber,validation
UPI-SNAPDEAL-884077@upi,Shopping,Want,upi,clear,shopping_snapdeal,validation
Reliance Fresh for daily cooking needs,Groceries,Need,merchant,clear,scenario_groceries_residual,train
UPI-ALOCALPUB-ALOCALPUB@YBL,Party,Want,upi,clear,party_local_pub,train
CARD PAYMENT JIOCINEMA,Entertainment,Want,bank_statement,clear,bills_jio,validation
CARD PAYMENT LENSKART,Shopping,Want,bank_statement,clear,shopping_lenskart,train
Reliance Digital because everyone else already had it,Shopping,Want,merchant,context_dependent,shopping_reliance_digital,validation
imported chocolates for movie night,Groceries,Need,natural_language,clear,travel_ola,train
"didn't really need Meru Cabs, but went ahead anyway, to visit relatives during the holidays",Travel,Want,semantic,clear,travel_meru,train
POS KUVERA PAYMENT,Misc,Investment,bank_statement,clear,misc_kuvera,test
Apple payment,Misc,Want,merchant,clear,scenario_misc_residual,train
UPI/ALOUNGEBAR/PAYMENT/REF4641,Party,Want,upi,clear,party_lounge_bar,test
UPI-PVR-849639@upi,Entertainment,Want,upi,clear,entertainment_pvr,train
Myntra new outfit for a wedding,Shopping,Want,merchant,clear,shopping_myntra,train
had no choice but to pay for Tata Cliq since it was for a work-from-home setup,Shopping,Need,semantic,context_dependent,shopping_tata_cliq,train
HP GAS TXN POS PURCHASE,Bills,Need,bank_statement,clear,bills_hp_gas,train
UPI-SWIGGYFOOD-SWIGGY@ICICI,Food,Need,upi,clear,food_swiggy,test
paid for Ajio because everyone else already had it on a whim,Shopping,Want,natural_language,context_dependent,bills_jio,validation
required college textbook,Education,Need,natural_language,clear,education_academic_general,train
groceries,Groceries,Need,short_keyword,ambiguous,groceries_ration_general,train
used Uber for a job interview across town,Travel,Need,natural_language,clear,travel_uber,validation
a rooftop bar for a spontaneous Friday night out,Party,Want,merchant,context_dependent,party_rooftop_bar,validation
POS CASH PAYMENT,Misc,Want,bank_statement,clear,scenario_misc_residual,train
Ola for a leisure vacation,Travel,Want,merchant,clear,travel_ola,train
Unacademy as a personal hobby class,Education,Want,merchant,clear,education_unacademy,train
POS DMART MUMBAI,Groceries,Need,bank_statement,clear,groceries_dmart,train
stocked the pantry with snacks for a house party,Groceries,Need,semantic,clear,party_house_party,train
OTT subscription,Entertainment,Want,short_keyword,ambiguous,scenario_entertainment_residual,train
had to pay for BEST bus to reach college on time,Travel,Need,natural_language,clear,travel_best_bus,train
bought tiffin service for the month,Food,Need,natural_language,clear,bills_vodafone,train
Tata Sky expense for the DTH subscription recharge,Bills,Need,natural_language,clear,scenario_bills_residual,train
UPI-UDEMY-UDEMY@YBL,Education,Investment,upi,clear,education_udemy,train
LinkedIn Learning as a personal hobby class,Education,Want,merchant,clear,education_linkedin_learning,train
treated myself to EatSure to try a new outlet everyone was talking about,Food,Want,natural_language,context_dependent,food_eatsure,train
UPI-MERUCABS-MERUCABS@SBI,Travel,Want,upi,clear,travel_meru,train
MYNTRA TXN POS PURCHASE,Shopping,Want,bank_statement,clear,shopping_myntra,train
POS EATSURE ONLINE,Food,Want,bank_statement,clear,food_eatsure,train
UPI-RELIANCEDIGI-941223@upi,Shopping,Want,upi,clear,scenario_shopping_residual,train
Burger King just out of a craving,Food,Want,merchant,context_dependent,food_burger_king,train
Jio for the mobile recharge plan,Bills,Need,merchant,clear,bills_jio,validation
IndiGo to rush to the hospital,Travel,Need,merchant,context_dependent,travel_indigo,train
CARD PAYMENT BYJU'S,Education,Investment,bank_statement,clear,education_byju,test
booked Yatra to get to a work meeting,Travel,Need,natural_language,clear,travel_yatra,train
Ajio because everyone else already had it,Shopping,Want,merchant,context_dependent,bills_jio,validation
Unacademy mandatory for the course curriculum,Education,Need,merchant,clear,education_unacademy,train
"set money aside for the future via Zerodha, for a mutual fund purchase",Misc,Investment,semantic,clear,bills_vodafone,train
online order,Shopping,Want,short_keyword,ambiguous,scenario_shopping_residual,train
UPI-INDIGO-791240@upi,Travel,Need,upi,clear,travel_indigo,train
paid for Tata Power for the monthly electricity bill,Bills,Need,natural_language,clear,bills_tata_power,train
paid for an online certification to improve my programming skills,Education,Investment,semantic,clear,scenario_education_residual,train
UPI/CLUBENTRY/BDAYPARTY/REF8821,Party,Want,upi,clear,party_nightclub,test
CARD PAYMENT UDEMY COURSE,Education,Investment,bank_statement,clear,education_udemy,train
UPI-BIGBASKET-BIGBASKET@HDFC,Groceries,Need,upi,clear,groceries_bigbasket,test
"booked a local pub for a New Year's party, just for fun",Party,Want,natural_language,context_dependent,party_local_pub,train
"spent on JioMart more for enjoyment than necessity, to try some gourmet imported items",Groceries,Want,semantic,context_dependent,bills_jio,validation
"the expense on IRCTC was unavoidable, to get to a work meeting",Travel,Need,semantic,clear,travel_irctc,train
"spent on Amazon more for enjoyment than necessity, to try out a new trend",Shopping,Want,semantic,context_dependent,shopping_amazon,train
CARD PAYMENT MORE SUPERMARKET,Groceries,Need,bank_statement,clear,groceries_more_supermarket,train
a rooftop bar during a bachelor party night out,Party,Want,merchant,clear,party_rooftop_bar,validation
renewed the family OTT subscription for the year,Entertainment,Want,natural_language,clear,scenario_entertainment_residual,train
UPI-KUVERA-KUVERA@AXIS,Misc,Investment,upi,clear,misc_kuvera,test
UPI-BLUSMART-BLUSMART@AXIS,Travel,Want,upi,clear,travel_blusmart,train
booked SpiceJet to get to a work meeting,Travel,Need,natural_language,clear,travel_spicejet,train
POS STANDING INSTRUCTION DEBIT,Misc,Want,bank_statement,clear,scenario_misc_residual,train
RAPIDO TXN POS PURCHASE,Travel,Need,bank_statement,clear,travel_rapido,test
went for BookMyShow for a birthday movie marathon,Entertainment,Want,natural_language,context_dependent,bills_vodafone,train
UPI-FORTISHOSPIT-FORTISHOSPIT@AXIS,Health,Need,upi,clear,health_fortis,train
Adani Electricity for the electricity connection at home,Bills,Need,merchant,clear,bills_adani_electricity,train
UPI/BESTBUS/PAYMENT/REF1672,Travel,Want,upi,clear,travel_best_bus,train
UPI/DMART/PAYMENT/REF1713,Groceries,Need,upi,clear,groceries_dmart,train
Yatra to a concert across town,Travel,Want,merchant,clear,travel_yatra,train
POS NATURE'S BASKET ONLINE,Groceries,Need,bank_statement,clear,groceries_natures_basket,train
had to pay for BEST bus for a hospital appointment,Travel,Need,natural_language,clear,travel_best_bus,train
UPI/JIOCINEMA/PAYMENT/REF9008,Entertainment,Want,upi,clear,bills_jio,validation
Hotstar annual subscription for cricket season,Entertainment,Want,merchant,clear,entertainment_hotstar,train
Airtel broadband bill payment,Bills,Need,merchant,clear,bills_airtel,train
paid the water bill for the apartment,Bills,Need,natural_language,clear,bills_water_general,test
CARD PAYMENT ICICI DIRECT,Misc,Investment,bank_statement,clear,scenario_misc_residual,train
POS ZEE5 PAYMENT,Entertainment,Want,bank_statement,clear,entertainment_zee5,validation
"spent on BookMyShow more for enjoyment than necessity, for binge watching over the weekend",Entertainment,Want,semantic,context_dependent,entertainment_bookmyshow,train
"decided to grow long term savings through ICICI Direct, for a fixed deposit renewal",Misc,Investment,semantic,clear,bills_vodafone,train
Udemy to boost my career prospects,Education,Investment,merchant,context_dependent,education_udemy,train
UPI-SKILLSHARE-840909@upi,Education,Investment,upi,clear,education_skillshare,train
spent on Skillshare compulsory for the degree program,Education,Need,natural_language,clear,education_skillshare,train
Star Bazaar expense for the week's meals,Groceries,Need,natural_language,clear,food_general_dining,train
POS UPGRAD ONLINE,Education,Investment,bank_statement,clear,education_upgrad,test
CARD PAYMENT A LOUNGE BAR,Party,Want,bank_statement,clear,party_lounge_bar,test
invested through Zerodha for a national pension scheme contribution,Misc,Investment,natural_language,clear,misc_zerodha,train
UPI-NETFLIX-NETFLIX@SBI,Entertainment,Want,upi,clear,entertainment_netflix,train
contributed to ET Money for a recurring deposit,Misc,Investment,natural_language,clear,misc_etmoney,validation
Vodafone Idea for the prepaid mobile recharge,Bills,Need,merchant,clear,bills_vodafone,train
used Unacademy mandatory for the course curriculum,Education,Need,natural_language,clear,education_unacademy,train
recharge,Bills,Need,short_keyword,ambiguous,scenario_bills_residual,train
"set money aside for the future via LinkedIn Learning, to stay competitive at work",Education,Investment,semantic,context_dependent,bills_vodafone,train
POS SWIGGY PAYMENT,Food,Need,bank_statement,clear,food_swiggy,test
UPI/HOUSINGSOCIE/PAYMENT/REF7286,Bills,Need,upi,clear,scenario_bills_residual,train
"could have skipped PVR, but chose to spend on it, for a weekend movie outing with friends",Entertainment,Want,semantic,clear,bills_vodafone,train
Skillshare purely for personal enrichment,Education,Want,merchant,context_dependent,education_skillshare,train
CARD PAYMENT MCDONALD'S,Food,Need,bank_statement,clear,food_mcdonald,train
signed up for a recreational photography workshop,Education,Investment,natural_language,clear,scenario_education_residual,train
FASTag to attend a friend's party,Travel,Want,merchant,clear,travel_fastag,validation
